Shape,Shape_Type,Area (m2),Depth (m),Width (m),Weight (kg/m),Ix (m4),Iy (m4),Plastic Mod Xp (m3),Plastic Mod Yp (m3),Cost per Meter (usd)
HSS34X10X1,HSS,0.00762,,,277.07,0.000039936,0.0000055744,0.0009266,0.00043952,504.27
HSS34X10X.875,HSS,0.00673,,,244.88,0.000035776,0.0000050336,0.00082984,0.00039688,445.68
HSS34X10X.750,HSS,0.00582,,,212,0.000031408,0.0000044512,0.00072816,0.0003526,385.84
HSS34X10X.625,HSS,0.00489,,,178.41,0.0000267488,0.00000384384,0.00061992,0.0003034,324.71
HSS30X10X1,HSS,0.00687,,,249.85,0.000028704,0.0000049088,0.0007544,0.00038868,454.73
HSS30X10X.875,HSS,0.00608,,,221.06,0.0000257504,0.0000044512,0.00067732,0.0003526,402.33
HSS30X10X.750,HSS,0.00526,,,191.58,0.0000226304,0.00000396032,0.00059532,0.0003116,348.68
HSS30X10X.625,HSS,0.00443,,,161.4,0.0000193024,0.0000034112,0.0005084,0.00026896,293.75
HSS30X10X.500,HSS,0.00358,,,130.52,0.0000158496,0.00000282464,0.00041656,0.00022304,237.55
HSS24X20X.750,HSS,0.00582,,,212,0.0000206336,0.0000156,0.00067732,0.000615,385.84
HSS24X20X.625,HSS,0.00489,,,178.41,0.0000175552,0.0000132704,0.00057564,0.00052316,324.71
HSS24X20X.500,HSS,0.00395,,,144.13,0.000014352,0.0000108576,0.00047068,0.00042804,262.32
HSS24X20X.375,HSS,0.00299,,,109.15,0.0000109824,0.00000832,0.0003608,0.000328,198.65
HSS24X20X.313,HSS,0.00251,,,91.39,0.0000092768,0.0000070304,0.00030504,0.00027716,166.33
HSS24X18X.750,HSS,0.00554,,,201.79,0.0000190528,0.0000122304,0.00062648,0.00053628,367.26
HSS24X18X.625,HSS,0.00466,,,169.91,0.000016224,0.0000104416,0.000533,0.00045756,309.24
HSS24X18X.500,HSS,0.00376,,,137.32,0.0000132704,0.0000085696,0.00043624,0.00037556,249.92
HSS24X18X.375,HSS,0.00285,,,104.04,0.000010192,0.0000065728,0.00033456,0.00028864,189.35
HSS24X18X.313,HSS,0.00239,,,87.14,0.0000085696,0.0000055328,0.00028208,0.00024272,158.59
HSS24X16X.750,HSS,0.00526,,,191.58,0.000017472,0.00000936,0.000574,0.00046084,348.68
HSS24X16X.625,HSS,0.00443,,,161.4,0.0000148928,0.0000079872,0.00048872,0.0003936,293.75
HSS24X16X.500,HSS,0.00358,,,130.52,0.0000121888,0.0000065728,0.00040016,0.00032308,237.55
HSS24X16X.375,HSS,0.00271,,,98.94,0.00000936,0.0000050336,0.00030832,0.00024928,180.07
HSS24X16X.313,HSS,0.00227,,,82.88,0.000007904,0.0000042848,0.00025912,0.00020992,150.84
HSS24X14X.750,HSS,0.00498,,,181.37,0.0000158912,0.0000069056,0.00052152,0.00038868,330.09
HSS24X14X.625,HSS,0.00419,,,152.89,0.0000135616,0.0000059072,0.00044608,0.00033292,278.26
HSS24X14X.500,HSS,0.00339,,,123.71,0.0000111488,0.0000048672,0.00036572,0.00027388,225.15
HSS24X14X.375,HSS,0.00257,,,93.83,0.0000085696,0.00000375232,0.00028044,0.00021156,170.77
HSS24X14X.313,HSS,0.00216,,,78.63,0.0000072384,0.00000317408,0.0002378,0.00017876,143.11
HSS24X14X.250,HSS,0.00174,,,63.25,0.0000058656,0.00000257504,0.00019188,0.00014514,115.12
HSS24X12X1,HSS,0.00613,,,222.63,0.0000180544,0.0000060736,0.00059368,0.00039852,405.19
HSS24X12X.875,HSS,0.00543,,,197.24,0.0000162656,0.0000054912,0.00053464,0.0003608,358.98
HSS24X12X.750,HSS,0.00471,,,171.16,0.0000143104,0.0000048672,0.00047068,0.0003198,311.51
HSS24X12X.625,HSS,0.00396,,,144.39,0.0000122304,0.00000416,0.0004018,0.00027388,262.79
HSS24X12X.500,HSS,0.00321,,,116.91,0.0000100672,0.00000344864,0.00033128,0.00022632,212.78
HSS24X12X.375,HSS,0.00243,,,88.73,0.0000077376,0.00000267072,0.0002542,0.00017548,161.49
HSS24X12X.313,HSS,0.00204,,,74.38,0.0000065312,0.00000225888,0.00021484,0.000148584,135.37
HSS24X12X.250,HSS,0.00164,,,59.85,0.0000053248,0.00000183872,0.00017384,0.000120704,108.93
HSS24X8X.500,HSS,0.00283,,,103.3,0.000007904,0.00000139776,0.00026076,0.00013776,188.01
HSS24X8X.375,HSS,0.00215,,,78.52,0.0000061152,0.00000109408,0.00020172,0.000107912,142.91
HSS24X8X.313,HSS,0.00181,,,65.87,0.0000052,0.00000093184,0.00017056,0.00009184,119.88
HSS24X8X.250,HSS,0.00146,,,53.05,0.0000042016,0.00000076128,0.000138416,0.000075112,96.55
HSS22X22X1,HSS,0.00762,,,277.07,0.000023088,0.000023088,0.0008282,0.0008282,504.27
HSS22X22X.875,HSS,0.00673,,,244.88,0.0000206752,0.0000206752,0.00074128,0.00074128,445.68
HSS22X22X.750,HSS,0.00582,,,212,0.000018096,0.000018096,0.0006478,0.0006478,385.84
HSS22X22X.625,HSS,0.00489,,,178.41,0.0000154336,0.0000154336,0.00055268,0.00055268,324.71
HSS22X22X.500,HSS,0.00395,,,144.13,0.0000126048,0.0000126048,0.00045264,0.00045264,262.32
HSS22X20X.750,HSS,0.00554,,,201.79,0.0000168064,0.0000145184,0.00060188,0.00057236,367.26
HSS22X20X.625,HSS,0.00466,,,169.91,0.0000143104,0.0000123552,0.00051332,0.00048708,309.24
HSS22X20X.500,HSS,0.00376,,,137.32,0.0000117312,0.0000101504,0.00041984,0.00040016,249.92
HSS22X20X.375,HSS,0.00285,,,104.04,0.0000089856,0.0000077792,0.00032144,0.00030668,189.35
HSS22X20X.313,HSS,0.00239,,,87.14,0.0000075712,0.0000065728,0.00027224,0.00025912,158.59
HSS22X18X.750,HSS,0.00526,,,191.58,0.0000154752,0.0000113568,0.00055432,0.00049856,348.68
HSS22X18X.625,HSS,0.00443,,,161.4,0.0000131872,0.0000096928,0.00047232,0.00042476,293.75
HSS22X18X.500,HSS,0.00358,,,130.52,0.000010816,0.0000079456,0.00038704,0.00034932,237.55
HSS22X18X.375,HSS,0.00271,,,98.94,0.00000832,0.0000061152,0.00029848,0.00026896,180.07
HSS22X18X.313,HSS,0.00227,,,82.88,0.0000069888,0.0000051584,0.00025092,0.00022632,150.84
HSS22X16X.750,HSS,0.00498,,,181.37,0.000014144,0.0000086528,0.00050676,0.0004264,330.09
HSS22X16X.625,HSS,0.00419,,,152.89,0.0000121056,0.0000074048,0.00043296,0.00036572,278.26
HSS22X16X.500,HSS,0.00339,,,123.71,0.0000099008,0.0000061152,0.00035588,0.00030012,225.15
HSS22X16X.375,HSS,0.00257,,,93.83,0.0000076128,0.0000047008,0.00027388,0.00023124,170.77
HSS22X16X.313,HSS,0.00216,,,78.63,0.000006448,0.00000396864,0.00023124,0.00019516,143.11
HSS22X16X.250,HSS,0.00174,,,63.25,0.0000052,0.00000321984,0.00018696,0.000158588,115.12
HSS22X14X.750,HSS,0.00471,,,171.16,0.0000128544,0.0000063648,0.00046084,0.00035916,311.51
HSS22X14X.625,HSS,0.00396,,,144.39,0.0000109824,0.0000054912,0.0003936,0.00030832,262.79
HSS22X14X.500,HSS,0.00321,,,116.91,0.0000090272,0.0000044928,0.00032308,0.0002542,212.78
HSS22X14X.375,HSS,0.00243,,,88.73,0.0000069472,0.00000348192,0.00024928,0.0001968,161.49
HSS22X14X.313,HSS,0.00204,,,74.38,0.0000058656,0.00000294528,0.00020992,0.00016564,135.37
HSS22X14X.250,HSS,0.00164,,,59.85,0.0000047424,0.000002392,0.00017056,0.000134808,108.93
HSS22X10X.625,HSS,0.0035,,,127.37,0.0000087776,0.00000255424,0.00031324,0.00020172,231.81
HSS22X10X.500,HSS,0.00283,,,103.3,0.0000072384,0.0000021216,0.00025912,0.00016728,188.01
HSS22X10X.375,HSS,0.00215,,,78.52,0.0000055744,0.00000165152,0.00020008,0.000130216,142.91
HSS22X10X.313,HSS,0.00181,,,65.87,0.0000047424,0.00000140192,0.00016892,0.000110536,119.88
HSS22X10X.250,HSS,0.00146,,,53.05,0.00000383968,0.000001144,0.000137596,0.0000902,96.55
HSS20X20X1,HSS,0.00687,,,249.85,0.000017056,0.000017056,0.0006724,0.0006724,454.73
HSS20X20X.875,HSS,0.00608,,,221.06,0.0000152672,0.0000152672,0.00060188,0.00060188,402.33
HSS20X20X.750,HSS,0.00526,,,191.58,0.0000134368,0.0000134368,0.00052972,0.00052972,348.68
HSS20X20X.625,HSS,0.00443,,,161.4,0.00001144,0.00001144,0.000451,0.000451,293.75
HSS20X20X.500,HSS,0.00358,,,130.52,0.0000094016,0.0000094016,0.00037064,0.00037064,237.55
HSS20X20X.375,HSS,0.00271,,,98.94,0.0000072384,0.0000072384,0.00028536,0.00028536,180.07
HSS20X20X.313,HSS,0.00227,,,82.88,0.0000060736,0.0000060736,0.00023944,0.00023944,150.84
HSS20X16X.750,HSS,0.00471,,,171.16,0.0000112736,0.0000079872,0.00044444,0.0003936,311.51
HSS20X16X.625,HSS,0.00396,,,144.39,0.0000096512,0.0000068224,0.00038048,0.00033784,262.79
HSS20X16X.500,HSS,0.00321,,,116.91,0.000007904,0.000005616,0.0003116,0.00027716,212.78
HSS20X16X.375,HSS,0.00243,,,88.73,0.0000061152,0.0000043264,0.00024108,0.0002132,161.49
HSS20X16X.313,HSS,0.00204,,,74.38,0.0000051584,0.00000366912,0.00020336,0.0001804,135.37
HSS20X16X.250,HSS,0.00164,,,59.85,0.00000416,0.00000297856,0.000164,0.00014678,108.93
HSS20X12X1,HSS,0.00538,,,195.4,0.0000113984,0.0000051168,0.00044936,0.0003362,355.63
HSS20X12X.875,HSS,0.00477,,,173.43,0.0000103168,0.0000046176,0.00040672,0.00030504,315.64
HSS20X12X.750,HSS,0.00415,,,150.75,0.0000091104,0.00000411008,0.00035916,0.0002706,274.37
HSS20X12X.625,HSS,0.0035,,,127.37,0.0000078208,0.00000354016,0.00030832,0.00023288,231.81
HSS20X12X.500,HSS,0.00283,,,103.3,0.000006448,0.0000029328,0.0002542,0.00019188,188.01
HSS20X12X.375,HSS,0.00215,,,78.52,0.000004992,0.00000227552,0.0001968,0.000149404,142.91
HSS20X12X.313,HSS,0.00181,,,65.87,0.0000042016,0.00000193024,0.00016564,0.000126772,119.88
HSS20X8X1,HSS,0.00464,,,168.18,0.0000085696,0.00000196352,0.00033784,0.00019352,306.09
HSS20X8X.875,HSS,0.00412,,,149.61,0.0000078208,0.00000179712,0.00030832,0.00017712,272.29
